"PlotID","Trial","ID","Red","Green","Blue","RedEdge","NIR","BI","GLI","NGRDI","VARI","BGI","NDVI"
"616","1",1,0.0879288531193479,0.132846174196865,0.161488745226149,0.200555741241986,0.251190907221381,0.131056422999273,0.0319254440492802,0.20348441116035,0.784005821135207,1.2166034524744,0.483501728147264
"615","1",2,0.0869736522597982,0.131240485589619,0.159212932299771,0.198082145060728,0.246299428316874,0.129362472934987,0.0327130493581417,0.202608603482111,0.772701985814813,1.21226011907058,0.479409572410642
"614","1",3,0.0860085594133596,0.130152864262845,0.155041808305654,0.197516218322917,0.2523262434148,0.127076645456993,0.0380408177507894,0.204081268157015,0.746604562220407,1.19453001460748,0.492533029116118
"613","1",4,0.0803525549813722,0.121813541253804,0.144112102048643,0.187248247674607,0.243764268416013,0.118518320621337,0.0400625424779241,0.204968429820068,0.744670994631356,1.18876172973585,0.504534390759623
"612","1",5,0.085556168502644,0.129387599862296,0.155287214676948,0.19888792595169,0.257121977164738,0.126839935787732,0.0354557311223352,0.204072095209824,0.770477816666952,1.2047692528366,0.502795874674943
"611","1",6,0.0800997650660181,0.121628029355688,0.146711662554043,0.188952599008468,0.245940043113287,0.119451181950538,0.0351137738768,0.205887307366546,0.787489762468166,1.2083963215211,0.509804421581192
"610","1",7,0.0837094416854417,0.128831537501362,0.151466514762788,0.20038931771332,0.26083621829365,0.12470039947729,0.0441873903538272,0.211302897972713,0.773803360411593,1.18298131090792,0.516009439270471
"609","1",8,0.0834051625466514,0.127537160554549,0.153659634245892,0.196666733402359,0.253364547523067,0.125044303989877,0.0370145634049682,0.209339246013163,0.798985156615766,1.20582482523218,0.50586509547593
"608","1",9,0.0834756688509536,0.126425684377272,0.153469330769834,0.191865191051211,0.246538976376647,0.124602143295633,0.0328584395785117,0.205389252570156,0.800339330983112,1.21556067282223,0.495291068480425
"607","1",10,0.0824739606495796,0.12522015318999,0.152595481341966,0.189358454342456,0.244035465927561,0.123615137514739,0.0312108388599524,0.205687153378873,0.807506346193334,1.22256726053024,0.493940107559618
